TargetVariable,age,job,marital,month,education,default,housing,loan,day_of_week,campaign,previous,poutcome,year,euribor3m,emp.var.rate,prod_indices
0,25,employees,single,may,intermediate,0,1,0,fri,3,0,nonexistent,2008,1.08159,1.00307,0.605572
0,52,employees,married,may,intermediate,0,0,1,wed,3,0,nonexistent,2008,1.07787,1.00307,0.605572
0,30,employees,single,jul,basic,0,1,0,tue,2,0,nonexistent,2008,1.13315,1.17812,-0.327017
0,43,employees,married,jul,intermediate,0,0,0,mon,3,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,29,employees,married,jun,basic,0,1,0,mon,2,0,nonexistent,2008,1.08213,1.17812,-0.446428
0,30,employees,single,may,intermediate,0,1,0,fri,3,0,nonexistent,2008,1.08159,1.00307,0.605572
0,32,employees,married,may,intermediate,0,1,0,fri,2,0,nonexistent,2008,1.07681,1.00307,0.605572
0,47,employees,married,aug,high,0,0,1,mon,2,0,nonexistent,2008,1.13421,1.17812,-0.00703283
0,30,employees,divorced,jul,intermediate,0,0,0,tue,4,0,nonexistent,2008,1.13315,1.17812,-0.327017
0,33,employees,single,may,basic,0,1,0,fri,2,0,nonexistent,2009,-0.805794,-0.689088,0.949409
0,41,executives,divorced,jul,basic,0,1,1,thu,1,0,nonexistent,2008,1.13156,1.17812,-0.327017
0,42,employees,married,may,basic,0,0,0,wed,1,0,nonexistent,2008,1.07894,1.00307,0.605572
0,29,employees,married,may,high,0,0,0,mon,1,0,nonexistent,2009,-0.831838,-0.689088,0.949409
0,39,employees,married,nov,high,0,1,0,tue,1,0,nonexistent,2008,0.703691,0.302869,0.124252
0,28,employees,single,mar,high,0,1,0,wed,1,1,failure,2010,-1.15765,-0.689088,-0.127197
0,25,employees,married,may,high,0,1,0,fri,2,0,nonexistent,2008,1.07787,1.00307,0.605572
0,54,employees,married,aug,basic,0,1,0,thu,3,0,nonexistent,2008,1.13421,1.17812,-0.00703283
0,21,employees,single,may,basic,0,0,0,mon,1,0,nonexistent,2009,-0.842468,-0.689088,0.949409
0,22,non-employed,single,apr,intermediate,0,1,0,fri,3,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,35,executives,married,apr,high,0,0,0,mon,3,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,28,employees,single,may,intermediate,0,0,0,mon,4,0,nonexistent,2008,1.0784,1.00307,0.605572
0,45,executives,single,jun,intermediate,0,0,0,mon,1,0,nonexistent,2008,1.08213,1.17812,-0.446428
0,28,employees,single,may,basic,0,1,0,fri,2,0,nonexistent,2008,1.07894,1.00307,0.605572
0,40,employees,married,apr,high,0,1,0,thu,1,1,failure,2009,-0.74095,-0.689088,0.736121
0,33,executives,married,jul,intermediate,0,0,1,fri,6,0,nonexistent,2008,1.13102,1.17812,-0.327017
0,31,employees,single,may,intermediate,0,0,0,thu,3,0,nonexistent,2008,1.07681,1.00307,0.605572
0,57,employees,married,jun,basic,0,1,1,wed,2,0,nonexistent,2008,1.08159,1.17812,-0.446428
0,28,executives,married,may,basic,0,1,0,wed,1,1,failure,2009,-0.822802,-0.689088,0.949409
0,27,employees,married,may,basic,0,1,1,tue,2,0,nonexistent,2008,1.07734,1.00307,0.605572
0,38,executives,divorced,may,basic,0,0,0,wed,1,0,nonexistent,2008,1.07787,1.00307,0.605572
0,50,employees,married,nov,high,0,1,0,mon,2,0,nonexistent,2009,-1.11992,-1.62269,-2.34202
0,57,employees,married,aug,intermediate,0,1,0,wed,3,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,38,employees,married,aug,high,0,0,0,fri,2,0,nonexistent,2008,1.13421,1.17812,-0.00703283
0,35,executives,married,mar,intermediate,0,0,0,thu,2,1,success,2010,-1.15818,-0.689088,-0.127197
0,20,non-employed,single,aug,basic,0,0,0,wed,2,0,nonexistent,2009,-1.04976,-1.33094,-3.18532
0,37,employees,single,jul,high,0,1,0,wed,2,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,44,executives,married,may,high,0,1,0,tue,1,0,nonexistent,2008,1.07787,1.00307,0.605572
0,47,executives,married,nov,high,0,0,0,mon,1,0,nonexistent,2008,0.723888,0.302869,0.124252
0,43,executives,married,sep,intermediate,0,1,1,thu,1,2,success,2009,-1.07367,-1.62269,-3.22397
0,33,employees,married,nov,high,0,1,0,thu,1,0,nonexistent,2008,0.662765,0.302869,0.124252
0,22,non-employed,single,apr,intermediate,0,0,0,tue,2,0,nonexistent,2009,-0.731383,-0.689088,0.736121
0,58,employees,divorced,aug,intermediate,0,0,0,wed,2,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,24,employees,single,jul,intermediate,0,0,1,tue,5,0,nonexistent,2008,1.13315,1.17812,-0.327017
0,27,employees,single,apr,intermediate,0,1,1,thu,3,0,nonexistent,2009,-0.778155,-0.689088,0.736121
0,45,employees,married,may,high,0,0,0,wed,2,0,nonexistent,2008,1.07894,1.00307,0.605572
0,28,employees,married,jul,basic,0,0,0,thu,2,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,47,executives,married,jun,high,0,1,0,mon,2,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,37,employees,married,may,basic,0,0,0,tue,7,0,nonexistent,2009,-0.789317,-0.689088,0.949409
0,55,employees,married,apr,high,0,1,1,mon,3,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,37,employees,married,apr,intermediate,0,1,1,fri,2,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,46,executives,married,may,intermediate,0,0,0,mon,2,0,nonexistent,2008,1.07787,1.00307,0.605572
0,42,employees,married,may,basic,0,1,0,thu,1,0,nonexistent,2009,-0.798353,-0.689088,0.949409
0,57,employees,divorced,may,intermediate,0,1,1,wed,3,0,nonexistent,2008,1.0784,1.00307,0.605572
0,52,executives,divorced,jun,intermediate,0,0,0,tue,4,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,46,employees,married,aug,high,0,1,1,thu,1,0,nonexistent,2008,1.13474,1.17812,-0.00703283
0,46,employees,married,may,basic,0,0,0,tue,1,0,nonexistent,2008,1.07787,1.00307,0.605572
0,37,employees,married,may,basic,0,0,1,thu,2,0,nonexistent,2008,1.07681,1.00307,0.605572
0,57,non-employed,divorced,jul,intermediate,0,1,0,thu,6,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,29,employees,single,jun,basic,0,0,0,mon,1,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,60,non-employed,married,aug,intermediate,0,0,0,thu,10,0,nonexistent,2008,1.13368,1.17812,-0.00703283
0,36,executives,divorced,jun,high,0,0,0,thu,12,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,51,employees,single,may,basic,0,1,0,fri,1,0,nonexistent,2008,1.07894,1.00307,0.605572
0,38,employees,married,nov,basic,0,0,0,wed,1,0,nonexistent,2008,0.686151,0.302869,0.124252
0,32,non-employed,single,nov,intermediate,0,0,1,thu,1,0,nonexistent,2008,0.558057,0.302869,0.124252
0,59,executives,single,nov,intermediate,0,1,0,fri,2,0,nonexistent,2008,0.633532,0.302869,0.124252
0,58,employees,divorced,jun,intermediate,0,0,0,thu,1,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,50,employees,divorced,jul,basic,0,0,0,thu,5,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,43,employees,married,jul,high,0,1,0,wed,1,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,40,employees,single,nov,intermediate,0,0,0,wed,2,0,nonexistent,2008,0.686151,0.302869,0.124252
0,28,executives,married,may,high,0,1,1,thu,3,0,nonexistent,2009,-0.830775,-0.689088,0.949409
0,31,executives,single,aug,intermediate,0,1,0,thu,3,0,nonexistent,2008,1.13421,1.17812,-0.00703283
0,38,executives,married,may,high,0,0,0,mon,3,0,nonexistent,2009,-0.784002,-0.689088,0.949409
0,58,non-employed,married,jul,basic,0,1,0,wed,23,0,nonexistent,2008,1.13421,1.17812,-0.327017
0,50,employees,single,may,intermediate,0,0,0,wed,2,0,nonexistent,2009,-0.822802,-0.689088,0.949409
0,38,employees,married,may,intermediate,0,1,0,thu,1,0,nonexistent,2008,1.07947,1.00307,0.605572
0,26,executives,single,jun,intermediate,0,1,0,tue,3,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,53,employees,divorced,jun,basic,0,1,0,thu,2,0,nonexistent,2008,1.13315,1.17812,-0.446428
0,29,employees,married,jul,intermediate,0,0,0,wed,2,0,nonexistent,2008,1.13102,1.17812,-0.327017
0,38,employees,married,apr,intermediate,0,0,0,fri,2,0,nonexistent,2009,-0.756895,-0.689088,0.736121
0,55,employees,married,may,intermediate,0,1,0,tue,5,0,nonexistent,2009,-0.830775,-0.689088,0.949409
0,59,employees,divorced,jul,basic,0,0,0,wed,1,0,nonexistent,2008,1.13368,1.17812,-0.327017
0,31,executives,single,may,intermediate,0,1,1,mon,1,1,failure,2009,-0.813235,-0.689088,0.949409
