date;euribor3m;year;month
02.05.2008;4.855;2008;5
02.06.2008;4.865;2008;6
01.07.2008;4.955;2008;7
01.08.2008;4.968;2008;8
01.09.2008;4.961;2008;9
01.10.2008;5.291;2008;10
03.11.2008;4.733;2008;11
01.12.2008;3.816;2008;12
02.01.2009;2.859;2009;1
02.02.2009;2.077;2009;2
02.03.2009;1.811;2009;3
01.04.2009;1.498;2009;4
04.05.2009;1.354;2009;5
01.06.2009;1.266;2009;6
01.07.2009;1.085;2009;7
03.08.2009;0.886;2009;8
01.09.2009;0.819;2009;9
01.10.2009;0.754;2009;10
02.11.2009;0.722;2009;11
01.12.2009;0.72;2009;12
04.01.2010;0.7;2010;1
01.02.2010;0.665;2010;2
01.03.2010;0.655;2010;3
01.04.2010;0.635;2010;4
03.05.2010;0.665;2010;5
01.06.2010;0.702;2010;6
01.07.2010;0.782;2010;7
02.08.2010;0.898;2010;8
01.09.2010;0.886;2010;9
01.10.2010;0.942;2010;10
01.11.2010;1.046;2010;11
